FLOW_ID,PROTOCOL_MAP,L4_SRC_PORT,IPV4_SRC_ADDR,L4_DST_PORT,IPV4_DST_ADDR,FIRST_SWITCHED,FLOW_DURATION_MILLISECONDS,LAST_SWITCHED,PROTOCOL,TCP_FLAGS,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,TCP_WIN_MIN_IN,TCP_WIN_MIN_OUT,TCP_WIN_MSS_IN,TCP_WIN_SCALE_IN,TCP_WIN_SCALE_OUT,SRC_TOS,DST_TOS,TOTAL_FLOWS_EXP,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,TOTAL_PKTS_EXP,TOTAL_BYTES_EXP,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,ANALYSIS_TIMESTAMP,ANOMALY,ID
372018590,udp,53950,10.114.232.40,53,10.114.226.5,1647760833,1,1647760833,17,0,0,0,0,0,0,0,0,0,0,372018590,0,0,0,0,165,2,275,2,1647760873,0,0
368604472,tcp,37914,10.114.241.166,38303,10.114.224.218,1647686725,1,1647686725,6,22,1024,0,1024,0,1460,0,0,0,0,368604472,0,0,0,0,44,1,40,1,1647687338,0,1
367513992,tcp,33216,10.114.241.166,18757,10.114.224.116,1647680044,0,1647680044,6,22,1024,0,1024,0,1460,0,0,0,0,367513992,0,0,0,0,44,1,40,1,1647680115,1,2
371997670,udp,48627,10.114.225.205,53,10.114.226.5,1647760172,0,1647760172,17,0,0,0,0,0,0,0,0,0,0,371997670,0,0,0,0,128,2,160,2,1647760207,0,3
374311119,udp,35939,10.114.225.205,53,10.114.226.5,1647780916,0,1647780916,17,0,0,0,0,0,0,0,0,0,0,374311119,0,0,0,0,172,2,300,2,1647780984,0,4
338500951,tcp,57175,45.134.144.144,2443,10.114.226.5,1647412843,0,1647412843,6,2,1024,0,1024,0,0,0,0,40,0,338500951,0,0,0,0,40,1,0,0,1647415742,,5
338612313,udp,16648,10.114.225.205,53,10.114.226.5,1647414417,0,1647414417,17,0,0,0,0,0,0,0,0,0,0,338612313,0,0,0,0,154,2,418,2,1647421601,,6
334640917,udp,63880,10.114.225.216,53,10.114.226.5,1647344697,0,1647344697,17,0,0,0,0,0,0,0,0,0,0,334640917,0,0,0,0,140,2,172,2,1647344753,,7
338755189,udp,52346,10.114.226.5,53,104.117.76.21,1647416028,3,1647416028,17,0,0,0,0,0,0,0,0,0,0,338755189,0,0,0,0,92,1,96,1,1647416063,,8
338874177,udp,51098,10.114.225.206,53,10.114.226.5,1647417450,2,1647417450,17,0,0,0,0,0,0,0,0,0,0,338874177,0,0,0,0,160,2,386,2,1647417515,,9
335602823,icmp,0,34.201.119.183,0,10.114.224.235,1647353170,0,1647353170,1,0,0,0,0,0,0,0,0,72,0,335602823,0,0,0,0,84,1,0,0,1647353226,,10
338812394,udp,42517,10.114.225.205,51413,5.14.206.50,1647416594,351,1647416594,17,0,0,0,0,0,0,0,0,0,0,338812394,0,0,0,0,1025,7,453,6,1647416667,,11
367185035,udp,38726,10.114.232.40,53,10.114.226.5,1647677160,1,1647677160,17,0,0,0,0,0,0,0,0,0,0,367185035,0,0,0,0,165,2,275,2,1647677240,0,12
338662180,tcp,47016,10.114.225.205,443,54.148.72.145,1647414947,14512,1647414961,6,31,64240,26847,64240,26847,1460,7,8,40,40,338662180,0,0,0,0,3292,14,4747,12,1647424257,,13
369794229,udp,39184,10.114.226.5,53,216.239.38.10,1647697519,33,1647697519,17,0,0,0,0,0,0,0,0,0,0,369794229,0,0,0,0,104,1,108,1,1647697592,0,14
341039765,tcp,45678,10.114.241.191,443,10.114.224.73,1647421471,7247,1647421478,6,2,64240,0,64240,0,1460,7,0,0,0,341039765,0,0,0,0,240,4,0,0,1647421618,,15
371904562,icmp,0,78.140.128.106,0,10.114.225.206,1647757362,0,1647757362,1,0,0,0,0,0,0,0,0,40,0,371904562,0,0,0,0,58,1,0,0,1647757422,0,16
